"","c_c_cx","f_fr_cx_x","c_c_cx_us","f_mn_cx_xs","f_sd_cx_xs","c_c_dx","f_fr_dx_x","f_sd_dx_xs","c_c_dx_b0","f_fr_dx_tb_b0","f_mn_xs_dx_b0","f_sd_xs_dx_b0","f_mn_tg_dx_b0","f_sd_tg_dx_b0","c_c_dx_b1","f_fr_dx_tb_b1","f_mn_xs_dx_b1","f_sd_xs_dx_b1","f_mn_tg_dx_b1","f_sd_tg_dx_b1"
"809",61,0.203333333333333,1,56,0,239,0.796666666666667,632.243359990709,60,0.251046025104602,124.35,56.5866101578151,0.967639971587617,0.548478138520632,179,0.748953974895398,1574.07262569832,12.8944384179229,1.01279784588332,0.562800750770998
"810",63,0.21,1,56,0,237,0.79,628.205757664243,57,0.240506329113924,116,0,0.94192801628794,0.505663299954104,180,0.759493670886076,1585.83333333333,4.50616861153193,0.960310830750279,0.552903391121973
"811",57,0.19,1,56,0,243,0.81,633.176770076606,60,0.246913580246914,116.483333333333,3.71255377813649,1.03615465002545,0.565228391778611,183,0.753086419753086,1583.31147540984,0.501101431614937,1.02461561920879,0.590037768612518
"812",58,0.193333333333333,1,56,0,242,0.806666666666667,647.576878370996,64,0.264462809917355,116.453125,3.59656818847843,0.994688272476196,0.564455738365777,178,0.735537190082645,1583.26404494382,0.422471910112384,1.00409468015035,0.551056910592086
"813",55,0.183333333333333,2,56.2181818181818,1.60330237709444,245,0.816666666666667,610.274473777529,55,0.224489795918367,124.054545454545,59.1885794210699,0.989734124254297,0.523740834113113,190,0.775510204081633,1583.71578947368,1.10724491149178,1.00577307125879,0.553953986366505
"814",73,0.243333333333333,1,56,0,227,0.756666666666667,640.972300550929,58,0.255506607929515,116,0,0.942223218449375,0.531815815904611,169,0.744493392070485,1585.60355029586,4.38828312845897,0.816744072096688,0.504122151189778
"815",66,0.22,1,56,0,234,0.78,630.882615538807,57,0.243589743589744,116,0,0.923078379460743,0.550983138059681,177,0.756410256410256,1585.71186440678,4.44572103342509,0.942363126711412,0.544999999931515
"816",80,0.266666666666667,2,56.15,1.33322916259734,220,0.733333333333333,602.410118445719,47,0.213636363636364,116,0,0.840227147807246,0.447290877000771,173,0.786363636363636,1585.71676300578,4.44823884568115,0.792112877202588,0.459266667228967
"817",74,0.246666666666667,2,56.1621621621622,1.3855141208623,226,0.753333333333333,608.724062043344,50,0.221238938053097,119.36,9.94857142857143,0.773429121289934,0.489650672310016,176,0.778761061946903,1585.72727272727,4.45361771415123,0.765577840805054,0.524805785431389
"818",73,0.243333333333333,1,56,0,227,0.756666666666667,641.509401923248,59,0.259911894273128,123.677966101695,58.4736477450229,1.03016198914627,0.55039233477615,168,0.740088105726872,1583.39285714286,0.612223639086662,0.917946491412774,0.542705949316797
